cos_loss,epoch,loss,recon,step,val_cos_loss,val_loss,val_recon
299.0287780761719,0,0.7891756892204285,103229.515625,49,,,
166.93203735351562,0,0.3772963285446167,49336.1328125,99,,,
125.18216705322266,0,0.31098833680152893,40674.234375,149,,,
59.76657485961914,0,0.16825701296329498,22011.947265625,199,,,
61.82647705078125,0,0.13597603142261505,17779.37109375,249,,,
53.23038864135742,0,0.15861639380455017,20752.90625,299,,,
54.912689208984375,0,0.16451244056224823,21524.53515625,349,,,
,0,,,374,45.9721794128418,0.1370079070329666,17925.724609375
40.58914566040039,1,0.1240389421582222,16229.6201171875,399,,,
35.73539733886719,1,0.11043832451105118,14450.357421875,449,,,
42.64436340332031,1,0.1525922417640686,19970.71875,499,,,
31.135007858276367,1,0.10126429051160812,13251.1181640625,549,,,
27.962278366088867,1,0.06529443711042404,8538.69921875,599,,,
23.385162353515625,1,0.06329535692930222,8279.8798828125,649,,,
26.249446868896484,1,0.06703855097293854,8768.501953125,699,,,
21.641727447509766,1,0.07680139690637589,10051.36328125,749,,,
,1,,,749,24.447908401489258,0.0723658874630928,9468.0283203125
30.827938079833984,2,0.08237887173891068,10775.984375,799,,,
23.814363479614258,2,0.0639430433511734,8364.47265625,849,,,
25.955554962158203,2,0.10372938960790634,13577.849609375,899,,,
24.369403839111328,2,0.06865618377923965,8981.8447265625,949,,,
17.789196014404297,2,0.07436466962099075,9734.673828125,999,,,
22.200454711914062,2,0.0701211541891098,9175.3798828125,1049,,,
20.358341217041016,2,0.07581062614917755,9922.3994140625,1099,,,
,2,,,1124,18.917720794677734,0.05495661497116089,7190.03271484375
18.421707153320312,3,0.04279519245028496,5596.3564453125,1149,,,
14.221302032470703,3,0.05285407975316048,6917.73486328125,1199,,,
26.781644821166992,3,0.07934805750846863,10381.5615234375,1249,,,
17.855812072753906,3,0.06466349214315414,8463.07421875,1299,,,
15.662481307983398,3,0.054632775485515594,7149.86328125,1349,,,
20.308414459228516,3,0.06886346638202667,9011.8564453125,1399,,,
24.298755645751953,3,0.06649278849363327,8698.333984375,1449,,,
16.039297103881836,3,0.051298726350069046,6712.59912109375,1499,,,
,3,,,1499,17.41307258605957,0.050092730671167374,6553.5654296875
16.087627410888672,4,0.04306318983435631,5633.1171875,1549,,,
12.551197052001953,4,0.040431130677461624,5290.603515625,1599,,,
14.448976516723633,4,0.04668985679745674,6109.61865234375,1649,,,
23.670940399169922,4,0.058042481541633606,7591.17431640625,1699,,,
13.294231414794922,4,0.05049426853656769,6609.07861328125,1749,,,
15.962562561035156,4,0.04546136409044266,5947.5380859375,1799,,,
11.315167427062988,4,0.03607704117894173,4720.76953125,1849,,,
,4,,,1874,15.760104179382324,0.04452037438750267,5824.3427734375
14.254831314086914,5,0.039720069617033005,5196.21044921875,1899,,,
16.88595962524414,5,0.050262756645679474,6576.2197265625,1949,,,
21.506336212158203,5,0.06429766118526459,8412.568359375,1999,,,
11.162149429321289,5,0.03508418798446655,4590.7412109375,2049,,,
16.703426361083984,5,0.04039359837770462,5282.77734375,2099,,,
16.402727127075195,5,0.04268229380249977,5582.9716796875,2149,,,
11.055781364440918,5,0.033060211688280106,4325.52880859375,2199,,,
14.397127151489258,5,0.04535902664065361,5935.22021484375,2249,,,
,5,,,2249,16.030113220214844,0.04540041461586952,5939.50244140625
14.096868515014648,6,0.04797236993908882,6277.966796875,2299,,,
13.784852981567383,6,0.04725514352321625,6184.1767578125,2349,,,
13.489503860473633,6,0.03831353411078453,5012.388671875,2399,,,
18.503597259521484,6,0.04311809688806534,5638.62255859375,2449,,,
14.914107322692871,6,0.049837324768304825,6521.837890625,2499,,,
14.282109260559082,6,0.03727613762021065,4875.8603515625,2549,,,
13.097989082336426,6,0.03241754695773125,4239.8642578125,2599,,,
,6,,,2624,15.585968017578125,0.04518062621355057,5911.00439453125
17.209501266479492,7,0.046841077506542206,6127.5068359375,2649,,,
21.373594284057617,7,0.03986586257815361,5210.3369140625,2699,,,
14.372081756591797,7,0.04224005341529846,5526.427734375,2749,,,
18.21991729736328,7,0.04863777384161949,6362.29638671875,2799,,,
15.163959503173828,7,0.04027977213263512,5268.935546875,2849,,,
14.204488754272461,7,0.03750702366232872,4906.17724609375,2899,,,
14.858783721923828,7,0.05506341904401779,7206.87109375,2949,,,
14.289077758789062,7,0.04056132584810257,5306.45166015625,2999,,,
,7,,,2999,14.209578514099121,0.03942792862653732,5157.951171875
9.206828117370605,8,0.03181013464927673,4162.97314453125,3049,,,
10.544163703918457,8,0.03316342458128929,4339.41552734375,3099,,,
12.013158798217773,8,0.03380061686038971,4421.9052734375,3149,,,
10.574771881103516,8,0.04367796331644058,5717.5556640625,3199,,,
13.117158889770508,8,0.033126767724752426,4332.8095703125,3249,,,
11.10899829864502,8,0.033643048256635666,4401.88525390625,3299,,,
14.962308883666992,8,0.04144400358200073,5421.6748046875,3349,,,
,8,,,3374,13.893891334533691,0.040782179683446884,5335.677734375
15.334656715393066,9,0.04616833105683327,6040.64111328125,3399,,,
13.019843101501465,9,0.04283319041132927,5605.1181640625,3449,,,
13.638962745666504,9,0.03880877420306206,5077.1962890625,3499,,,
15.194361686706543,9,0.03927335515618324,5137.0009765625,3549,,,
15.965789794921875,9,0.05175140127539635,6771.9833984375,3599,,,
13.653982162475586,9,0.03703714907169342,4844.9755859375,3649,,,
11.560072898864746,9,0.0326678641140461,4273.75,3699,,,
8.73375129699707,9,0.02783624269068241,3642.4384765625,3749,,,
,9,,,3749,14.029571533203125,0.03857114166021347,5045.77490234375
